"","Time","Vertical","Lateral","Sagittal"
"1",0,1971,2032,2032
"2",0.01,1972,2036,2029
"3",0.02,1974,2035,2033
"4",0.03,1975,2036,2035
"5",0.04,1975,2035,2036
"6",0.05,1974,2033,2037
"7",0.06,1976,2035,2036
"8",0.07,1977,2035,2037
"9",0.08,1978,2033,2036
"10",0.09,1978,2031,2037
"11",0.1,1976,2031,2037
"12",0.11,1977,2031,2037
"13",0.12,1978,2030,2038
"14",0.13,1978,2030,2038
"15",0.14,1976,2030,2038
"16",0.15,1976,2030,2038
"17",0.16,1977,2031,2039
"18",0.17,1977,2031,2039
"19",0.18,1980,2032,2037
"20",0.19,1980,2031,2035
"21",0.2,1981,2031,2035
"22",0.21,1983,2031,2034
"23",0.22,1982,2031,2035
"24",0.23,1972,2033,2036
"25",0.24,1951,2032,2047
"26",0.25,1931,2031,2056
"27",0.26,1942,2036,2061
"28",0.27,1952,2034,2054
"29",0.28,1957,2036,2049
"30",0.29,1961,2036,2040
"31",0.3,1966,2037,2032
"32",0.31,1970,2032,2034
"33",0.32,1969,2031,2034
"34",0.33,1969,2030,2036
"35",0.34,1967,2032,2041
"36",0.35,1966,2032,2042
"37",0.36,1959,2028,2044
"38",0.37,1955,2027,2044
"39",0.38,1953,2026,2045
"40",0.39,1953,2026,2046
"41",0.4,1957,2028,2046
"42",0.41,1962,2028,2046
"43",0.42,1964,2025,2044
"44",0.43,1968,2025,2044
"45",0.44,1968,2025,2042
"46",0.45,1970,2027,2042
"47",0.46,1975,2026,2041
"48",0.47,1974,2027,2040
"49",0.48,1974,2027,2039
"50",0.49,1976,2024,2040
"51",0.5,1975,2024,2041
"52",0.51,1973,2024,2042
"53",0.52,1972,2024,2044
"54",0.53,1971,2025,2045
"55",0.54,1969,2021,2044
"56",0.55,1965,2022,2045
"57",0.56,1960,2023,2046
"58",0.57,1961,2025,2044
"59",0.58,1964,2023,2045
"60",0.59,1966,2024,2045
"61",0.6,1970,2024,2042
"62",0.61,1973,2027,2042
"63",0.62,1978,2028,2042
"64",0.63,1979,2027,2042
"65",0.64,1978,2028,2040
"66",0.65,1977,2027,2043
"67",0.66,1978,2026,2044
"68",0.67,1975,2027,2044
"69",0.68,1973,2028,2046
"70",0.69,1972,2028,2050
"71",0.7,1970,2027,2050
"72",0.71,1975,2026,2048
"73",0.72,1974,2025,2048
"74",0.73,1972,2025,2048
"75",0.74,1970,2025,2051
"76",0.75,1967,2023,2054
"77",0.76,1969,2021,2058
"78",0.77,1971,2021,2056
"79",0.78,1967,2022,2053
"80",0.79,1951,2021,2047
"81",0.8,1944,2027,2042
"82",0.81,1931,2026,2037
"83",0.82,1939,2028,2029
"84",0.83,1943,2029,2027
"85",0.84,1946,2029,2033
"86",0.85,1948,2031,2041
"87",0.86,1950,2029,2052
"88",0.87,1956,2029,2059
"89",0.88,1962,2032,2064
"90",0.89,1965,2033,2067
"91",0.9,1966,2034,2067
"92",0.91,1967,2036,2063
"93",0.92,1968,2038,2056
"94",0.93,1970,2038,2050
"95",0.94,1970,2042,2049
"96",0.95,1970,2041,2047
"97",0.96,1966,2042,2048
"98",0.97,1966,2040,2050
"99",0.98,1966,2041,2048
"100",0.99,1966,2041,2043
"101",1,1966,2039,2041
"102",1.01,1965,2038,2040
"103",1.02,1967,2036,2040
"104",1.03,1967,2034,2039
"105",1.04,1968,2032,2038
"106",1.05,1969,2032,2039
"107",1.06,1969,2033,2038
"108",1.07,1971,2033,2037
"109",1.08,1972,2034,2036
"110",1.09,1975,2032,2035
"111",1.1,1976,2033,2033
"112",1.11,1976,2033,2031
"113",1.12,1974,2033,2029
"114",1.13,1975,2035,2028
"115",1.14,1977,2034,2025
"116",1.15,1977,2036,2023
"117",1.16,1976,2034,2021
"118",1.17,1975,2036,2020
"119",1.18,1976,2036,2017
"120",1.19,1976,2036,2019
"121",1.2,1975,2034,2021
"122",1.21,1975,2036,2026
"123",1.22,1971,2034,2030
"124",1.23,1969,2035,2034
"125",1.24,1969,2034,2037
"126",1.25,1968,2035,2038
"127",1.26,1967,2035,2038
"128",1.27,1968,2035,2038
"129",1.28,1967,2036,2038
"130",1.29,1967,2037,2039
"131",1.3,1968,2034,2039
"132",1.31,1967,2032,2038
"133",1.32,1966,2031,2031
"134",1.33,1966,2030,2027
"135",1.34,1965,2030,2023
"136",1.35,1968,2029,2022
"137",1.36,1970,2029,2022
"138",1.37,1971,2029,2023
"139",1.38,1975,2027,2022
"140",1.39,1975,2028,2023
"141",1.4,1966,2031,2021
"142",1.41,1937,2028,2021
"143",1.42,1936,2032,2033
"144",1.43,1940,2033,2042
"145",1.44,1945,2031,2049
"146",1.45,1956,2030,2049
"147",1.46,1962,2032,2046
"148",1.47,1964,2033,2042
"149",1.48,1966,2034,2039
"150",1.49,1974,2034,2034
"151",1.5,1980,2035,2033
"152",1.51,1981,2035,2035
"153",1.52,1981,2036,2038
"154",1.53,1974,2038,2042
"155",1.54,1968,2037,2049
"156",1.55,1961,2034,2054
"157",1.56,1957,2034,2057
"158",1.57,1954,2035,2059
"159",1.58,1951,2036,2057
"160",1.59,1951,2036,2058
"161",1.6,1951,2035,2060
"162",1.61,1951,2032,2061
"163",1.62,1952,2031,2061
"164",1.63,1952,2030,2062
"165",1.64,1956,2030,2062
"166",1.65,1959,2031,2062
"167",1.66,1963,2031,2064
"168",1.67,1965,2032,2065
"169",1.68,1966,2034,2065
"170",1.69,1969,2035,2067
"171",1.7,1968,2036,2066
"172",1.71,1970,2031,2068
"173",1.72,1970,2031,2068
"174",1.73,1974,2030,2069
"175",1.74,1973,2032,2071
"176",1.75,1974,2032,2070
"177",1.76,1975,2031,2073
"178",1.77,1977,2031,2071
"179",1.78,1975,2033,2069
"180",1.79,1974,2035,2068
"181",1.8,1971,2036,2068
"182",1.81,1969,2037,2067
"183",1.82,1968,2038,2065
"184",1.83,1968,2040,2065
"185",1.84,1967,2041,2065
"186",1.85,1967,2039,2065
"187",1.86,1967,2039,2064
"188",1.87,1968,2038,2064
"189",1.88,1965,2039,2066
"190",1.89,1960,2038,2068
"191",1.9,1938,2039,2068
"192",1.91,1920,2037,2067
"193",1.92,1939,2047,2054
"194",1.93,1939,2057,2046
"195",1.94,1949,2055,2044
"196",1.95,1961,2049,2046
"197",1.96,1965,2049,2049
"198",1.97,1973,2048,2051
"199",1.98,1978,2052,2048
"200",1.99,1976,2056,2044
"201",2,1972,2055,2041
"202",2.01,1968,2054,2039
"203",2.02,1962,2053,2037
"204",2.03,1955,2053,2038
"205",2.04,1952,2053,2038
"206",2.05,1951,2053,2040
"207",2.06,1953,2053,2042
"208",2.07,1958,2053,2047
"209",2.08,1962,2052,2047
"210",2.09,1965,2050,2047
"211",2.1,1966,2049,2045
"212",2.11,1967,2046,2045
"213",2.12,1968,2047,2041
"214",2.13,1969,2045,2041
"215",2.14,1971,2046,2042
"216",2.15,1973,2046,2044
"217",2.16,1973,2049,2044
"218",2.17,1974,2052,2044
"219",2.18,1971,2055,2041
"220",2.19,1969,2056,2039
"221",2.2,1970,2056,2036
"222",2.21,1972,2060,2034
"223",2.22,1977,2059,2032
"224",2.23,1977,2058,2031
"225",2.24,1978,2058,2033
"226",2.25,1980,2056,2034
"227",2.26,1981,2054,2037
"228",2.27,1990,2051,2039
"229",2.28,1993,2052,2040
"230",2.29,1989,2053,2042
"231",2.3,1987,2053,2044
"232",2.31,1985,2061,2045
"233",2.32,1923,2076,2040
"234",2.33,1957,2078,2076
"235",2.34,1967,2074,2089
"236",2.35,1963,2073,2095
"237",2.36,1964,2074,2089
"238",2.37,1961,2071,2080
"239",2.38,1960,2068,2073
"240",2.39,1955,2067,2071
"241",2.4,1951,2070,2069
"242",2.41,1950,2070,2064
"243",2.42,1947,2070,2060
"244",2.43,1944,2070,2060
"245",2.44,1943,2068,2064
"246",2.45,1944,2070,2065
"247",2.46,1952,2066,2063
"248",2.47,1952,2068,2060
"249",2.48,1959,2069,2058
"250",2.49,1962,2069,2059
"251",2.5,1962,2068,2060
"252",2.51,1961,2069,2065
"253",2.52,1962,2069,2071
"254",2.53,1962,2069,2074
