"","Time","Vertical","Lateral","Sagittal","jerkV","jerkL","jerkS","JerkMag"
"1",0,1963,2058,2058,NA,NA,NA,NA
"2",0.01,1963,2059,2060,0,100,200,223.606797749979
"3",0.02,1960,2059,2062,-300,0,200,360.555127546399
"4",0.03,1962,2059,2063,200,0,100,223.606797749979
"5",0.04,1964,2058,2061,200,-100,-200,300
"6",0.05,1964,2058,2061,0,0,0,0
"7",0.06,1963,2056,2061,-100,-200,0,223.606797749979
"8",0.07,1963,2057,2060,0,99.9999999999999,-99.9999999999999,141.421356237309
"9",0.08,1964,2057,2059,100,0,-100,141.42135623731
"10",0.09,1965,2059,2058,100,200,-100,244.948974278318
"11",0.1,1964,2059,2057,-99.9999999999999,0,-99.9999999999999,141.421356237309
"12",0.11,1964,2059,2058,0,0,100,100
"13",0.12,1963,2058,2057,-100,-100,-100,173.205080756888
"14",0.13,1964,2061,2059,99.9999999999999,300,200,374.165738677394
"15",0.14,1964,2061,2059,0,0,0,0
"16",0.15,1964,2061,2059,0,0,0,0
"17",0.16,1964,2061,2059,0,0,0,0
"18",0.17,1964,2061,2059,0,0,0,0
"19",0.18,1964,2063,2058,0,200,-100,223.606797749979
"20",0.19,1963,2059,2057,-99.9999999999999,-400,-99.9999999999999,424.264068711928
"21",0.2,1964,2057,2058,99.9999999999999,-200,99.9999999999999,244.948974278318
"22",0.21,1964,2057,2060,0,0,200,200
"23",0.22,1963,2059,2061,-99.9999999999999,200,99.9999999999999,244.948974278318
"24",0.23,1963,2058,2060,0,-99.9999999999999,-99.9999999999999,141.421356237309
"25",0.24,1963,2058,2060,0,0,0,0
"26",0.25,1963,2060,2060,0,200,0,200
"27",0.26,1962,2059,2060,-99.9999999999999,-99.9999999999999,0,141.421356237309
"28",0.27,1963,2059,2059,99.9999999999999,0,-99.9999999999999,141.421356237309
"29",0.28,1963,2057,2060,0,-200,99.9999999999999,223.606797749979
"30",0.29,1963,2058,2060,0,100,0,100
"31",0.3,1962,2057,2060,-99.9999999999999,-99.9999999999999,0,141.421356237309
"32",0.31,1963,2057,2061,99.9999999999999,0,99.9999999999999,141.421356237309
"33",0.32,1962,2060,2059,-99.9999999999999,300,-200,374.165738677394
"34",0.33,1963,2061,2059,99.9999999999999,99.9999999999999,0,141.421356237309
"35",0.34,1964,2060,2060,99.9999999999999,-99.9999999999999,99.9999999999999,173.205080756888
"36",0.35,1964,2059,2060,0,-100,0,100
"37",0.36,1964,2061,2060,0,200,0,200
