Time,Vertical,Lateral,Sagittal
16/08/2025 07:34:21.409,1965,2053,2049
16/08/2025 07:34:21.419,1965,2053,2045
16/08/2025 07:34:21.429,1964,2053,2045
16/08/2025 07:34:21.439,1963,2053,2045
16/08/2025 07:34:21.449,1965,2053,2046
16/08/2025 07:34:21.459,1965,2053,2047
16/08/2025 07:34:21.469,1966,2053,2047
16/08/2025 07:34:21.479,1966,2053,2049
16/08/2025 07:34:21.489,1966,2052,2048
16/08/2025 07:34:21.499,1966,2060,2057
16/08/2025 07:34:21.509,1965,2053,2064
16/08/2025 07:34:21.519,1967,2045,2063
16/08/2025 07:34:21.529,1968,2049,2053
16/08/2025 07:34:21.539,1968,2052,2042
16/08/2025 07:34:21.549,1968,2052,2042
16/08/2025 07:34:21.559,1968,2052,2042
16/08/2025 07:34:21.569,1966,2053,2033
16/08/2025 07:34:21.579,1966,2053,2033
16/08/2025 07:34:21.589,1964,2053,2025
16/08/2025 07:34:21.599,1952,2034,2030
16/08/2025 07:34:21.609,1971,2053,2052
16/08/2025 07:34:21.619,1955,2051,2048
16/08/2025 07:34:21.629,1959,2050,2050
16/08/2025 07:34:21.639,1963,2053,2055
16/08/2025 07:34:21.649,1964,2053,2054
16/08/2025 07:34:21.659,1966,2054,2053
16/08/2025 07:34:21.669,1966,2053,2051
16/08/2025 07:34:21.679,1966,2051,2050
16/08/2025 07:34:21.689,1966,2052,2048
16/08/2025 07:34:21.699,1966,2053,2050
16/08/2025 07:34:21.709,1964,2054,2048
16/08/2025 07:34:21.719,1965,2054,2047
16/08/2025 07:34:21.729,1965,2055,2046
16/08/2025 07:34:21.739,1966,2055,2049
16/08/2025 07:34:21.749,1966,2056,2047
16/08/2025 07:34:21.759,1965,2055,2045
16/08/2025 07:34:21.769,1965,2055,2045
16/08/2025 07:34:21.779,1966,2053,2045
16/08/2025 07:34:21.789,1966,2053,2045
16/08/2025 07:34:21.799,1966,2053,2046
16/08/2025 07:34:21.809,1967,2054,2046
16/08/2025 07:34:21.819,1966,2054,2049
16/08/2025 07:34:21.829,1966,2055,2048
16/08/2025 07:34:21.839,1966,2054,2047
16/08/2025 07:34:21.849,1965,2055,2047
16/08/2025 07:34:21.859,1966,2054,2046
16/08/2025 07:34:21.869,1966,2055,2046
16/08/2025 07:34:21.879,1966,2054,2045
16/08/2025 07:34:21.889,1966,2053,2047
16/08/2025 07:34:21.899,1966,2055,2046
16/08/2025 07:34:21.909,1966,2054,2049
16/08/2025 07:34:21.919,1965,2055,2047
16/08/2025 07:34:21.929,1965,2054,2045
16/08/2025 07:34:21.939,1966,2054,2047
16/08/2025 07:34:21.949,1965,2054,2046
16/08/2025 07:34:21.959,1966,2055,2046
16/08/2025 07:34:21.969,1964,2054,2046
16/08/2025 07:34:21.979,1965,2053,2047
16/08/2025 07:34:21.989,1966,2054,2047
16/08/2025 07:34:21.999,1965,2054,2047
16/08/2025 07:34:22.009,1966,2054,2047
16/08/2025 07:34:22.019,1966,2056,2046
16/08/2025 07:34:22.029,1968,2050,2046
16/08/2025 07:34:22.039,1965,2052,2048
16/08/2025 07:34:22.049,1965,2053,2046
16/08/2025 07:34:22.059,1967,2053,2041
16/08/2025 07:34:22.069,1968,2055,2031
16/08/2025 07:34:22.079,1967,2052,2026
16/08/2025 07:34:22.089,1967,2053,2032
16/08/2025 07:34:22.099,1965,2053,2040
16/08/2025 07:34:22.109,1946,2070,2055
16/08/2025 07:34:22.119,1919,2124,2068
16/08/2025 07:34:22.129,1933,2124,2068
16/08/2025 07:34:22.139,1991,1954,2068
16/08/2025 07:34:22.149,2027,1968,2054
16/08/2025 07:34:22.159,1968,2021,2051
16/08/2025 07:34:22.169,1958,2055,2046
16/08/2025 07:34:22.179,1962,2055,2041
16/08/2025 07:34:22.189,1964,2055,2038
16/08/2025 07:34:22.199,1964,2056,2037
16/08/2025 07:34:22.209,1964,2055,2037
16/08/2025 07:34:22.219,1965,2054,2039
16/08/2025 07:34:22.229,1965,2054,2041
16/08/2025 07:34:22.239,1965,2054,2044
16/08/2025 07:34:22.249,1965,2055,2045
16/08/2025 07:34:22.259,1965,2056,2047
16/08/2025 07:34:22.269,1966,2055,2046
16/08/2025 07:34:22.279,1966,2053,2047
16/08/2025 07:34:22.289,1964,2053,2047
16/08/2025 07:34:22.299,1965,2056,2048
16/08/2025 07:34:22.309,1964,2055,2047
16/08/2025 07:34:22.319,1964,2054,2044
16/08/2025 07:34:22.329,1965,2054,2041
16/08/2025 07:34:22.339,1965,2055,2043
16/08/2025 07:34:22.349,1966,2054,2042
16/08/2025 07:34:22.359,1965,2054,2045
16/08/2025 07:34:22.369,1965,2054,2045
16/08/2025 07:34:22.379,1965,2054,2045
16/08/2025 07:34:22.389,1966,2054,2046
16/08/2025 07:34:22.399,1963,2053,2046
16/08/2025 07:34:22.409,1964,2054,2046
16/08/2025 07:34:22.419,1967,2043,2035
16/08/2025 07:34:22.429,1957,2029,2039
16/08/2025 07:34:22.439,1957,2038,2038
16/08/2025 07:34:22.449,1975,2055,2039
16/08/2025 07:34:22.459,1974,2060,2042
16/08/2025 07:34:22.469,1962,2056,2043
16/08/2025 07:34:22.479,1855,2186,2067
16/08/2025 07:34:22.489,1921,2132,2068
16/08/2025 07:34:22.499,1939,2088,2059
16/08/2025 07:34:22.509,1957,2048,2061
16/08/2025 07:34:22.519,1968,2048,2061
16/08/2025 07:34:22.529,1964,2049,2053
16/08/2025 07:34:22.539,1965,2046,2044
16/08/2025 07:34:22.549,1967,2050,2041
16/08/2025 07:34:22.559,1965,2055,2039
16/08/2025 07:34:22.569,1964,2054,2040
16/08/2025 07:34:22.579,1965,2053,2042
16/08/2025 07:34:22.589,1965,2054,2045
16/08/2025 07:34:22.599,1966,2053,2048
16/08/2025 07:34:22.609,1966,2053,2051
16/08/2025 07:34:22.619,1966,2053,2051
16/08/2025 07:34:22.629,1965,2053,2050
16/08/2025 07:34:22.639,1965,2053,2048
16/08/2025 07:34:22.649,1965,2052,2049
16/08/2025 07:34:22.659,1965,2053,2047
16/08/2025 07:34:22.669,1964,2053,2047
16/08/2025 07:34:22.679,1965,2053,2049
16/08/2025 07:34:22.689,1966,2053,2049
16/08/2025 07:34:22.699,1965,2054,2048
16/08/2025 07:34:22.709,1965,2053,2047
16/08/2025 07:34:22.719,1965,2053,2046
16/08/2025 07:34:22.729,1966,2053,2046
16/08/2025 07:34:22.739,1964,2054,2047
16/08/2025 07:34:22.749,1965,2055,2047
16/08/2025 07:34:22.759,1966,2054,2050
16/08/2025 07:34:22.769,1966,2055,2049
16/08/2025 07:34:22.779,1966,2054,2048
16/08/2025 07:34:22.789,1964,2054,2049
16/08/2025 07:34:22.799,1964,2053,2048
16/08/2025 07:34:22.809,1963,2053,2049
16/08/2025 07:34:22.819,1964,2053,2049
16/08/2025 07:34:22.829,1964,2054,2049
16/08/2025 07:34:22.839,1965,2053,2050
16/08/2025 07:34:22.849,1966,2053,2051
16/08/2025 07:34:22.859,1965,2054,2051
16/08/2025 07:34:22.869,1966,2055,2053
16/08/2025 07:34:22.879,1966,2055,2051
16/08/2025 07:34:22.889,1966,2054,2050
16/08/2025 07:34:22.899,1966,2053,2051
16/08/2025 07:34:22.909,1966,2053,2049
16/08/2025 07:34:22.919,1966,2054,2051
16/08/2025 07:34:22.929,1965,2053,2052
16/08/2025 07:34:22.939,1966,2053,2052
16/08/2025 07:34:22.949,1966,2053,2053
16/08/2025 07:34:22.959,1965,2053,2049
16/08/2025 07:34:22.969,1966,2053,2051
16/08/2025 07:34:22.979,1966,2053,2052
16/08/2025 07:34:22.989,1965,2054,2052
16/08/2025 07:34:22.999,1966,2056,2053
16/08/2025 07:34:23.009,1966,2055,2052
16/08/2025 07:34:23.019,1966,2054,2049
16/08/2025 07:34:23.029,1966,2054,2048
16/08/2025 07:34:23.039,1965,2054,2049
16/08/2025 07:34:23.049,1965,2055,2048
16/08/2025 07:34:23.059,1966,2054,2049
16/08/2025 07:34:23.069,1966,2053,2048
16/08/2025 07:34:23.079,1965,2053,2048
16/08/2025 07:34:23.089,1966,2053,2050
16/08/2025 07:34:23.099,1965,2052,2053
16/08/2025 07:34:23.109,1966,2053,2054
16/08/2025 07:34:23.119,1965,2053,2052
16/08/2025 07:34:23.129,1966,2053,2050
16/08/2025 07:34:23.139,1965,2053,2050
16/08/2025 07:34:23.149,1963,2053,2051
16/08/2025 07:34:23.159,1965,2053,2049
16/08/2025 07:34:23.169,1965,2054,2050
16/08/2025 07:34:23.179,1966,2054,2050
16/08/2025 07:34:23.189,1965,2054,2052
16/08/2025 07:34:23.199,1966,2053,2052
16/08/2025 07:34:23.209,1965,2054,2051
16/08/2025 07:34:23.219,1966,2056,2052
16/08/2025 07:34:23.229,1967,2055,2052
16/08/2025 07:34:23.239,1965,2054,2052
16/08/2025 07:34:23.249,1965,2054,2050
16/08/2025 07:34:23.259,1965,2053,2049
16/08/2025 07:34:23.269,1966,2054,2050
16/08/2025 07:34:23.279,1966,2053,2050
16/08/2025 07:34:23.289,1966,2053,2050
16/08/2025 07:34:23.299,1965,2053,2047
16/08/2025 07:34:23.309,1966,2053,2046
16/08/2025 07:34:23.319,1966,2054,2046
16/08/2025 07:34:23.329,1965,2057,2047
16/08/2025 07:34:23.339,1965,2056,2047
16/08/2025 07:34:23.349,1966,2055,2047
16/08/2025 07:34:23.359,1966,2054,2046
16/08/2025 07:34:23.369,1965,2056,2046
16/08/2025 07:34:23.379,1964,2055,2049
16/08/2025 07:34:23.389,1965,2056,2048
16/08/2025 07:34:23.399,1966,2054,2049
16/08/2025 07:34:23.409,1966,2054,2047
16/08/2025 07:34:23.419,1965,2053,2049
16/08/2025 07:34:23.429,1965,2053,2050
