Time,Vertical,Lateral,Sagittal
16/08/2025 07:12:39.449,1971,2032,2032
16/08/2025 07:12:39.459,1972,2036,2029
16/08/2025 07:12:39.469,1974,2035,2033
16/08/2025 07:12:39.479,1975,2036,2035
16/08/2025 07:12:39.489,1975,2035,2036
16/08/2025 07:12:39.499,1974,2033,2037
16/08/2025 07:12:39.509,1976,2035,2036
16/08/2025 07:12:39.519,1977,2035,2037
16/08/2025 07:12:39.529,1978,2033,2036
16/08/2025 07:12:39.539,1978,2031,2037
16/08/2025 07:12:39.549,1976,2031,2037
16/08/2025 07:12:39.559,1977,2031,2037
16/08/2025 07:12:39.569,1978,2030,2038
16/08/2025 07:12:39.579,1978,2030,2038
16/08/2025 07:12:39.589,1976,2030,2038
16/08/2025 07:12:39.599,1976,2030,2038
16/08/2025 07:12:39.609,1977,2031,2039
16/08/2025 07:12:39.619,1977,2031,2039
16/08/2025 07:12:39.629,1980,2032,2037
16/08/2025 07:12:39.639,1980,2031,2035
16/08/2025 07:12:39.649,1981,2031,2035
16/08/2025 07:12:39.659,1983,2031,2034
16/08/2025 07:12:39.669,1982,2031,2035
16/08/2025 07:12:39.679,1972,2033,2036
16/08/2025 07:12:39.689,1951,2032,2047
16/08/2025 07:12:39.699,1931,2031,2056
16/08/2025 07:12:39.709,1942,2036,2061
16/08/2025 07:12:39.719,1952,2034,2054
16/08/2025 07:12:39.729,1957,2036,2049
16/08/2025 07:12:39.739,1961,2036,2040
16/08/2025 07:12:39.749,1966,2037,2032
16/08/2025 07:12:39.759,1970,2032,2034
16/08/2025 07:12:39.769,1969,2031,2034
16/08/2025 07:12:39.779,1969,2030,2036
16/08/2025 07:12:39.789,1967,2032,2041
16/08/2025 07:12:39.799,1966,2032,2042
16/08/2025 07:12:39.809,1959,2028,2044
16/08/2025 07:12:39.819,1955,2027,2044
16/08/2025 07:12:39.829,1953,2026,2045
16/08/2025 07:12:39.839,1953,2026,2046
16/08/2025 07:12:39.849,1957,2028,2046
16/08/2025 07:12:39.859,1962,2028,2046
16/08/2025 07:12:39.869,1964,2025,2044
16/08/2025 07:12:39.879,1968,2025,2044
16/08/2025 07:12:39.889,1968,2025,2042
16/08/2025 07:12:39.899,1970,2027,2042
16/08/2025 07:12:39.909,1975,2026,2041
16/08/2025 07:12:39.919,1974,2027,2040
16/08/2025 07:12:39.929,1974,2027,2039
16/08/2025 07:12:39.939,1976,2024,2040
16/08/2025 07:12:39.949,1975,2024,2041
16/08/2025 07:12:39.959,1973,2024,2042
16/08/2025 07:12:39.969,1972,2024,2044
16/08/2025 07:12:39.979,1971,2025,2045
16/08/2025 07:12:39.989,1969,2021,2044
16/08/2025 07:12:39.999,1965,2022,2045
16/08/2025 07:12:40.009,1960,2023,2046
16/08/2025 07:12:40.019,1961,2025,2044
16/08/2025 07:12:40.029,1964,2023,2045
16/08/2025 07:12:40.039,1966,2024,2045
16/08/2025 07:12:40.049,1970,2024,2042
16/08/2025 07:12:40.059,1973,2027,2042
16/08/2025 07:12:40.069,1978,2028,2042
16/08/2025 07:12:40.079,1979,2027,2042
16/08/2025 07:12:40.089,1978,2028,2040
16/08/2025 07:12:40.099,1977,2027,2043
16/08/2025 07:12:40.109,1978,2026,2044
16/08/2025 07:12:40.119,1975,2027,2044
16/08/2025 07:12:40.129,1973,2028,2046
16/08/2025 07:12:40.139,1972,2028,2050
16/08/2025 07:12:40.149,1970,2027,2050
16/08/2025 07:12:40.159,1975,2026,2048
16/08/2025 07:12:40.169,1974,2025,2048
16/08/2025 07:12:40.179,1972,2025,2048
16/08/2025 07:12:40.189,1970,2025,2051
16/08/2025 07:12:40.199,1967,2023,2054
16/08/2025 07:12:40.209,1969,2021,2058
16/08/2025 07:12:40.219,1971,2021,2056
16/08/2025 07:12:40.229,1967,2022,2053
16/08/2025 07:12:40.239,1951,2021,2047
16/08/2025 07:12:40.249,1944,2027,2042
16/08/2025 07:12:40.259,1931,2026,2037
16/08/2025 07:12:40.269,1939,2028,2029
16/08/2025 07:12:40.279,1943,2029,2027
16/08/2025 07:12:40.289,1946,2029,2033
16/08/2025 07:12:40.299,1948,2031,2041
16/08/2025 07:12:40.309,1950,2029,2052
16/08/2025 07:12:40.319,1956,2029,2059
16/08/2025 07:12:40.329,1962,2032,2064
16/08/2025 07:12:40.339,1965,2033,2067
16/08/2025 07:12:40.349,1966,2034,2067
16/08/2025 07:12:40.359,1967,2036,2063
16/08/2025 07:12:40.369,1968,2038,2056
16/08/2025 07:12:40.379,1970,2038,2050
16/08/2025 07:12:40.389,1970,2042,2049
16/08/2025 07:12:40.399,1970,2041,2047
16/08/2025 07:12:40.409,1966,2042,2048
16/08/2025 07:12:40.419,1966,2040,2050
16/08/2025 07:12:40.429,1966,2041,2048
16/08/2025 07:12:40.439,1966,2041,2043
16/08/2025 07:12:40.449,1966,2039,2041
16/08/2025 07:12:40.459,1965,2038,2040
16/08/2025 07:12:40.469,1967,2036,2040
16/08/2025 07:12:40.479,1967,2034,2039
16/08/2025 07:12:40.489,1968,2032,2038
16/08/2025 07:12:40.499,1969,2032,2039
16/08/2025 07:12:40.509,1969,2033,2038
16/08/2025 07:12:40.519,1971,2033,2037
16/08/2025 07:12:40.529,1972,2034,2036
16/08/2025 07:12:40.539,1975,2032,2035
16/08/2025 07:12:40.549,1976,2033,2033
16/08/2025 07:12:40.559,1976,2033,2031
16/08/2025 07:12:40.569,1974,2033,2029
16/08/2025 07:12:40.579,1975,2035,2028
16/08/2025 07:12:40.589,1977,2034,2025
16/08/2025 07:12:40.599,1977,2036,2023
16/08/2025 07:12:40.609,1976,2034,2021
16/08/2025 07:12:40.619,1975,2036,2020
16/08/2025 07:12:40.629,1976,2036,2017
16/08/2025 07:12:40.639,1976,2036,2019
16/08/2025 07:12:40.649,1975,2034,2021
16/08/2025 07:12:40.659,1975,2036,2026
16/08/2025 07:12:40.669,1971,2034,2030
16/08/2025 07:12:40.679,1969,2035,2034
16/08/2025 07:12:40.689,1969,2034,2037
16/08/2025 07:12:40.699,1968,2035,2038
16/08/2025 07:12:40.709,1967,2035,2038
16/08/2025 07:12:40.719,1968,2035,2038
16/08/2025 07:12:40.729,1967,2036,2038
16/08/2025 07:12:40.739,1967,2037,2039
16/08/2025 07:12:40.749,1968,2034,2039
16/08/2025 07:12:40.759,1967,2032,2038
16/08/2025 07:12:40.769,1966,2031,2031
16/08/2025 07:12:40.779,1966,2030,2027
16/08/2025 07:12:40.789,1965,2030,2023
16/08/2025 07:12:40.799,1968,2029,2022
16/08/2025 07:12:40.809,1970,2029,2022
16/08/2025 07:12:40.819,1971,2029,2023
16/08/2025 07:12:40.829,1975,2027,2022
16/08/2025 07:12:40.839,1975,2028,2023
16/08/2025 07:12:40.849,1966,2031,2021
16/08/2025 07:12:40.859,1937,2028,2021
16/08/2025 07:12:40.869,1936,2032,2033
16/08/2025 07:12:40.879,1940,2033,2042
16/08/2025 07:12:40.889,1945,2031,2049
16/08/2025 07:12:40.899,1956,2030,2049
16/08/2025 07:12:40.909,1962,2032,2046
16/08/2025 07:12:40.919,1964,2033,2042
16/08/2025 07:12:40.929,1966,2034,2039
16/08/2025 07:12:40.939,1974,2034,2034
16/08/2025 07:12:40.949,1980,2035,2033
16/08/2025 07:12:40.959,1981,2035,2035
16/08/2025 07:12:40.969,1981,2036,2038
16/08/2025 07:12:40.979,1974,2038,2042
16/08/2025 07:12:40.989,1968,2037,2049
16/08/2025 07:12:40.999,1961,2034,2054
16/08/2025 07:12:41.009,1957,2034,2057
16/08/2025 07:12:41.019,1954,2035,2059
16/08/2025 07:12:41.029,1951,2036,2057
16/08/2025 07:12:41.039,1951,2036,2058
16/08/2025 07:12:41.049,1951,2035,2060
16/08/2025 07:12:41.059,1951,2032,2061
16/08/2025 07:12:41.069,1952,2031,2061
16/08/2025 07:12:41.079,1952,2030,2062
16/08/2025 07:12:41.089,1956,2030,2062
16/08/2025 07:12:41.099,1959,2031,2062
16/08/2025 07:12:41.109,1963,2031,2064
16/08/2025 07:12:41.119,1965,2032,2065
16/08/2025 07:12:41.129,1966,2034,2065
16/08/2025 07:12:41.139,1969,2035,2067
16/08/2025 07:12:41.149,1968,2036,2066
16/08/2025 07:12:41.159,1970,2031,2068
16/08/2025 07:12:41.169,1970,2031,2068
16/08/2025 07:12:41.179,1974,2030,2069
16/08/2025 07:12:41.189,1973,2032,2071
16/08/2025 07:12:41.199,1974,2032,2070
16/08/2025 07:12:41.209,1975,2031,2073
16/08/2025 07:12:41.219,1977,2031,2071
16/08/2025 07:12:41.229,1975,2033,2069
16/08/2025 07:12:41.239,1974,2035,2068
16/08/2025 07:12:41.249,1971,2036,2068
16/08/2025 07:12:41.259,1969,2037,2067
16/08/2025 07:12:41.269,1968,2038,2065
16/08/2025 07:12:41.279,1968,2040,2065
16/08/2025 07:12:41.289,1967,2041,2065
16/08/2025 07:12:41.299,1967,2039,2065
16/08/2025 07:12:41.309,1967,2039,2064
16/08/2025 07:12:41.319,1968,2038,2064
16/08/2025 07:12:41.329,1965,2039,2066
16/08/2025 07:12:41.339,1960,2038,2068
16/08/2025 07:12:41.349,1938,2039,2068
16/08/2025 07:12:41.359,1920,2037,2067
16/08/2025 07:12:41.369,1939,2047,2054
16/08/2025 07:12:41.379,1939,2057,2046
16/08/2025 07:12:41.389,1949,2055,2044
16/08/2025 07:12:41.399,1961,2049,2046
16/08/2025 07:12:41.409,1965,2049,2049
16/08/2025 07:12:41.419,1973,2048,2051
16/08/2025 07:12:41.429,1978,2052,2048
16/08/2025 07:12:41.439,1976,2056,2044
16/08/2025 07:12:41.449,1972,2055,2041
16/08/2025 07:12:41.459,1968,2054,2039
16/08/2025 07:12:41.469,1962,2053,2037
16/08/2025 07:12:41.479,1955,2053,2038
16/08/2025 07:12:41.489,1952,2053,2038
16/08/2025 07:12:41.499,1951,2053,2040
16/08/2025 07:12:41.509,1953,2053,2042
16/08/2025 07:12:41.519,1958,2053,2047
16/08/2025 07:12:41.529,1962,2052,2047
16/08/2025 07:12:41.539,1965,2050,2047
16/08/2025 07:12:41.549,1966,2049,2045
16/08/2025 07:12:41.559,1967,2046,2045
16/08/2025 07:12:41.569,1968,2047,2041
16/08/2025 07:12:41.579,1969,2045,2041
16/08/2025 07:12:41.589,1971,2046,2042
16/08/2025 07:12:41.599,1973,2046,2044
16/08/2025 07:12:41.609,1973,2049,2044
16/08/2025 07:12:41.619,1974,2052,2044
16/08/2025 07:12:41.629,1971,2055,2041
16/08/2025 07:12:41.639,1969,2056,2039
16/08/2025 07:12:41.649,1970,2056,2036
16/08/2025 07:12:41.659,1972,2060,2034
16/08/2025 07:12:41.669,1977,2059,2032
16/08/2025 07:12:41.679,1977,2058,2031
16/08/2025 07:12:41.689,1978,2058,2033
16/08/2025 07:12:41.699,1980,2056,2034
16/08/2025 07:12:41.709,1981,2054,2037
16/08/2025 07:12:41.719,1990,2051,2039
16/08/2025 07:12:41.729,1993,2052,2040
16/08/2025 07:12:41.739,1989,2053,2042
16/08/2025 07:12:41.749,1987,2053,2044
16/08/2025 07:12:41.759,1985,2061,2045
16/08/2025 07:12:41.769,1923,2076,2040
16/08/2025 07:12:41.779,1957,2078,2076
16/08/2025 07:12:41.789,1967,2074,2089
16/08/2025 07:12:41.799,1963,2073,2095
16/08/2025 07:12:41.809,1964,2074,2089
16/08/2025 07:12:41.819,1961,2071,2080
16/08/2025 07:12:41.829,1960,2068,2073
16/08/2025 07:12:41.839,1955,2067,2071
16/08/2025 07:12:41.849,1951,2070,2069
16/08/2025 07:12:41.859,1950,2070,2064
16/08/2025 07:12:41.869,1947,2070,2060
16/08/2025 07:12:41.879,1944,2070,2060
16/08/2025 07:12:41.889,1943,2068,2064
16/08/2025 07:12:41.899,1944,2070,2065
16/08/2025 07:12:41.909,1952,2066,2063
16/08/2025 07:12:41.919,1952,2068,2060
16/08/2025 07:12:41.929,1959,2069,2058
16/08/2025 07:12:41.939,1962,2069,2059
16/08/2025 07:12:41.949,1962,2068,2060
16/08/2025 07:12:41.959,1961,2069,2065
16/08/2025 07:12:41.969,1962,2069,2071
16/08/2025 07:12:41.979,1962,2069,2074
16/08/2025 07:12:41.989,1964,2069,2076
16/08/2025 07:12:41.999,1965,2069,2076
16/08/2025 07:12:42.009,1971,2069,2076
16/08/2025 07:12:42.019,1976,2070,2074
16/08/2025 07:12:42.029,1981,2073,2072
16/08/2025 07:12:42.039,1988,2075,2071
16/08/2025 07:12:42.049,1993,2074,2071
16/08/2025 07:12:42.059,1996,2074,2071
16/08/2025 07:12:42.069,1997,2072,2071
16/08/2025 07:12:42.079,1998,2071,2070
16/08/2025 07:12:42.089,1996,2071,2067
16/08/2025 07:12:42.099,1990,2071,2059
16/08/2025 07:12:42.109,1978,2074,2052
16/08/2025 07:12:42.119,1956,2086,2047
16/08/2025 07:12:42.129,1931,2083,2035
16/08/2025 07:12:42.139,1955,2094,2017
16/08/2025 07:12:42.149,1957,2106,2009
16/08/2025 07:12:42.159,1950,2099,2023
16/08/2025 07:12:42.169,1950,2088,2032
16/08/2025 07:12:42.179,1954,2083,2036
16/08/2025 07:12:42.189,1959,2085,2039
16/08/2025 07:12:42.199,1968,2082,2041
16/08/2025 07:12:42.209,1975,2086,2044
16/08/2025 07:12:42.219,1978,2090,2044
16/08/2025 07:12:42.229,1980,2094,2045
16/08/2025 07:12:42.239,1978,2096,2045
16/08/2025 07:12:42.249,1979,2098,2043
16/08/2025 07:12:42.259,1974,2100,2041
16/08/2025 07:12:42.269,1976,2102,2042
16/08/2025 07:12:42.279,1978,2099,2043
16/08/2025 07:12:42.289,1978,2097,2040
16/08/2025 07:12:42.299,1978,2092,2037
16/08/2025 07:12:42.309,1976,2091,2035
16/08/2025 07:12:42.319,1975,2091,2034
16/08/2025 07:12:42.329,1974,2093,2034
16/08/2025 07:12:42.339,1973,2093,2034
16/08/2025 07:12:42.349,1974,2093,2034
16/08/2025 07:12:42.359,1976,2096,2030
16/08/2025 07:12:42.369,1977,2097,2032
16/08/2025 07:12:42.379,1980,2095,2031
16/08/2025 07:12:42.389,1981,2095,2030
16/08/2025 07:12:42.399,1982,2095,2031
16/08/2025 07:12:42.409,1982,2094,2030
16/08/2025 07:12:42.419,1984,2094,2026
16/08/2025 07:12:42.429,1984,2094,2026
16/08/2025 07:12:42.439,1983,2095,2027
16/08/2025 07:12:42.449,1984,2096,2032
16/08/2025 07:12:42.459,1984,2096,2035
16/08/2025 07:12:42.469,1984,2093,2036
16/08/2025 07:12:42.479,1983,2093,2036
16/08/2025 07:12:42.489,1983,2091,2037
16/08/2025 07:12:42.499,1983,2090,2035
16/08/2025 07:12:42.509,1984,2090,2035
16/08/2025 07:12:42.519,1983,2092,2033
16/08/2025 07:12:42.529,1982,2091,2033
16/08/2025 07:12:42.539,1984,2089,2034
16/08/2025 07:12:42.549,1984,2090,2034
16/08/2025 07:12:42.559,1983,2091,2032
16/08/2025 07:12:42.569,1983,2089,2032
16/08/2025 07:12:42.579,1983,2088,2034
16/08/2025 07:12:42.589,1982,2087,2036
16/08/2025 07:12:42.599,1982,2085,2040
16/08/2025 07:12:42.609,1981,2085,2038
16/08/2025 07:12:42.619,1980,2083,2037
16/08/2025 07:12:42.629,1979,2083,2038
16/08/2025 07:12:42.639,1976,2080,2035
16/08/2025 07:12:42.649,1974,2082,2031
16/08/2025 07:12:42.659,1973,2082,2031
16/08/2025 07:12:42.669,1976,2082,2031
16/08/2025 07:12:42.679,1977,2078,2028
16/08/2025 07:12:42.689,1975,2078,2027
16/08/2025 07:12:42.699,1973,2077,2026
16/08/2025 07:12:42.709,1971,2075,2024
16/08/2025 07:12:42.719,1971,2072,2024
16/08/2025 07:12:42.729,1970,2072,2024
16/08/2025 07:12:42.739,1971,2071,2023
16/08/2025 07:12:42.749,1971,2070,2023
16/08/2025 07:12:42.759,1972,2070,2023
16/08/2025 07:12:42.769,1971,2070,2022
16/08/2025 07:12:42.779,1970,2070,2025
16/08/2025 07:12:42.789,1968,2069,2024
16/08/2025 07:12:42.799,1970,2069,2025
16/08/2025 07:12:42.809,1970,2067,2027
16/08/2025 07:12:42.819,1972,2068,2024
16/08/2025 07:12:42.829,1974,2064,2022
16/08/2025 07:12:42.839,1974,2062,2021
16/08/2025 07:12:42.849,1971,2064,2021
16/08/2025 07:12:42.859,1971,2063,2022
16/08/2025 07:12:42.869,1973,2060,2025
16/08/2025 07:12:42.879,1974,2058,2024
16/08/2025 07:12:42.889,1974,2057,2025
16/08/2025 07:12:42.899,1972,2057,2024
16/08/2025 07:12:42.909,1972,2057,2024
16/08/2025 07:12:42.919,1970,2057,2024
16/08/2025 07:12:42.929,1970,2056,2025
16/08/2025 07:12:42.939,1970,2054,2024
16/08/2025 07:12:42.949,1972,2051,2026
16/08/2025 07:12:42.959,1973,2045,2029
16/08/2025 07:12:42.969,1971,2041,2026
16/08/2025 07:12:42.979,1969,2040,2024
16/08/2025 07:12:42.989,1970,2039,2028
16/08/2025 07:12:42.999,1976,2036,2032
16/08/2025 07:12:43.009,1976,2036,2032
16/08/2025 07:12:43.019,1975,2034,2033
16/08/2025 07:12:43.029,1975,2030,2035
16/08/2025 07:12:43.039,1971,2030,2037
16/08/2025 07:12:43.049,1961,2032,2041
16/08/2025 07:12:43.059,1958,2026,2054
16/08/2025 07:12:43.069,1962,2017,2068
16/08/2025 07:12:43.079,1965,2007,2077
16/08/2025 07:12:43.089,1973,2003,2074
16/08/2025 07:12:43.099,1971,2004,2060
16/08/2025 07:12:43.109,1968,2009,2048
16/08/2025 07:12:43.119,1964,2011,2036
16/08/2025 07:12:43.129,1962,2015,2030
16/08/2025 07:12:43.139,1958,2018,2028
16/08/2025 07:12:43.149,1954,2018,2032
16/08/2025 07:12:43.159,1949,2018,2032
16/08/2025 07:12:43.169,1947,2016,2034
16/08/2025 07:12:43.179,1947,2020,2036
16/08/2025 07:12:43.189,1947,2018,2036
16/08/2025 07:12:43.199,1949,2017,2032
16/08/2025 07:12:43.209,1951,2016,2030
16/08/2025 07:12:43.219,1954,2019,2030
16/08/2025 07:12:43.229,1958,2018,2027
16/08/2025 07:12:43.239,1962,2019,2030
16/08/2025 07:12:43.249,1964,2021,2034
16/08/2025 07:12:43.259,1965,2024,2037
16/08/2025 07:12:43.269,1969,2023,2039
16/08/2025 07:12:43.279,1968,2024,2040
16/08/2025 07:12:43.289,1968,2026,2042
16/08/2025 07:12:43.299,1968,2029,2043
16/08/2025 07:12:43.309,1969,2028,2042
16/08/2025 07:12:43.319,1968,2029,2040
16/08/2025 07:12:43.329,1969,2027,2042
16/08/2025 07:12:43.339,1968,2027,2042
16/08/2025 07:12:43.349,1968,2026,2041
16/08/2025 07:12:43.359,1967,2027,2043
16/08/2025 07:12:43.369,1968,2027,2043
16/08/2025 07:12:43.379,1968,2029,2046
16/08/2025 07:12:43.389,1968,2023,2048
16/08/2025 07:12:43.399,1966,2024,2049
16/08/2025 07:12:43.409,1965,2025,2047
16/08/2025 07:12:43.419,1966,2024,2047
16/08/2025 07:12:43.429,1967,2023,2046
16/08/2025 07:12:43.439,1968,2024,2046
16/08/2025 07:12:43.449,1968,2028,2046
16/08/2025 07:12:43.459,1970,2030,2044
16/08/2025 07:12:43.469,1973,2030,2043
16/08/2025 07:12:43.479,1978,2030,2043
16/08/2025 07:12:43.489,1980,2030,2044
16/08/2025 07:12:43.499,1983,2029,2048
