Time,Vertical,Lateral,Sagittal
16/08/2025 06:47:53.441,1963,2058,2058
16/08/2025 06:47:53.451,1963,2059,2060
16/08/2025 06:47:53.461,1960,2059,2062
16/08/2025 06:47:53.471,1962,2059,2063
16/08/2025 06:47:53.481,1964,2058,2061
16/08/2025 06:47:53.491,1964,2058,2061
16/08/2025 06:47:53.501,1963,2056,2061
16/08/2025 06:47:53.511,1963,2057,2060
16/08/2025 06:47:53.521,1964,2057,2059
16/08/2025 06:47:53.531,1965,2059,2058
16/08/2025 06:47:53.541,1964,2059,2057
16/08/2025 06:47:53.551,1964,2059,2058
16/08/2025 06:47:53.561,1963,2058,2057
16/08/2025 06:47:53.571,1964,2061,2059
16/08/2025 06:47:53.581,1964,2061,2059
16/08/2025 06:47:53.591,1964,2061,2059
16/08/2025 06:47:53.601,1964,2061,2059
16/08/2025 06:47:53.611,1964,2061,2059
16/08/2025 06:47:53.621,1964,2063,2058
16/08/2025 06:47:53.631,1963,2059,2057
16/08/2025 06:47:53.641,1964,2057,2058
16/08/2025 06:47:53.651,1964,2057,2060
16/08/2025 06:47:53.661,1963,2059,2061
16/08/2025 06:47:53.671,1963,2058,2060
16/08/2025 06:47:53.681,1963,2058,2060
16/08/2025 06:47:53.691,1963,2060,2060
16/08/2025 06:47:53.701,1962,2059,2060
16/08/2025 06:47:53.711,1963,2059,2059
16/08/2025 06:47:53.721,1963,2057,2060
16/08/2025 06:47:53.731,1963,2058,2060
16/08/2025 06:47:53.741,1962,2057,2060
16/08/2025 06:47:53.751,1963,2057,2061
16/08/2025 06:47:53.761,1962,2060,2059
16/08/2025 06:47:53.771,1963,2061,2059
16/08/2025 06:47:53.781,1964,2060,2060
16/08/2025 06:47:53.791,1964,2059,2060
16/08/2025 06:47:53.801,1964,2061,2060
16/08/2025 06:47:53.811,1963,2059,2060
16/08/2025 06:47:53.821,1963,2059,2061
16/08/2025 06:47:53.831,1963,2060,2059
16/08/2025 06:47:53.841,1962,2057,2059
16/08/2025 06:47:53.851,1963,2058,2058
16/08/2025 06:47:53.861,1963,2058,2059
16/08/2025 06:47:53.871,1962,2058,2059
16/08/2025 06:47:53.881,1963,2058,2057
16/08/2025 06:47:53.891,1964,2056,2057
16/08/2025 06:47:53.901,1964,2058,2058
16/08/2025 06:47:53.911,1963,2059,2060
16/08/2025 06:47:53.921,1962,2057,2059
16/08/2025 06:47:53.931,1961,2057,2057
16/08/2025 06:47:53.941,1960,2060,2057
16/08/2025 06:47:53.951,1962,2060,2057
16/08/2025 06:47:53.961,1964,2058,2058
16/08/2025 06:47:53.971,1964,2058,2060
16/08/2025 06:47:53.981,1964,2057,2062
16/08/2025 06:47:53.991,1963,2055,2062
16/08/2025 06:47:54.001,1962,2055,2063
16/08/2025 06:47:54.011,1963,2058,2061
16/08/2025 06:47:54.021,1963,2057,2060
16/08/2025 06:47:54.031,1962,2057,2061
16/08/2025 06:47:54.041,1964,2058,2057
16/08/2025 06:47:54.051,1963,2056,2057
16/08/2025 06:47:54.061,1962,2055,2057
16/08/2025 06:47:54.071,1961,2054,2056
16/08/2025 06:47:54.081,1961,2054,2058
16/08/2025 06:47:54.091,1961,2054,2059
16/08/2025 06:47:54.101,1961,2054,2059
16/08/2025 06:47:54.111,1962,2055,2058
16/08/2025 06:47:54.121,1962,2058,2058
16/08/2025 06:47:54.131,1963,2057,2058
16/08/2025 06:47:54.141,1963,2058,2060
16/08/2025 06:47:54.151,1963,2062,2060
16/08/2025 06:47:54.161,1965,2063,2060
16/08/2025 06:47:54.171,1964,2060,2061
16/08/2025 06:47:54.181,1965,2059,2062
16/08/2025 06:47:54.191,1963,2059,2061
16/08/2025 06:47:54.201,1963,2062,2061
16/08/2025 06:47:54.211,1963,2061,2061
16/08/2025 06:47:54.221,1963,2060,2061
16/08/2025 06:47:54.231,1962,2062,2062
16/08/2025 06:47:54.241,1962,2060,2061
16/08/2025 06:47:54.251,1964,2059,2059
16/08/2025 06:47:54.261,1966,2060,2058
16/08/2025 06:47:54.271,1965,2060,2058
16/08/2025 06:47:54.281,1964,2063,2057
16/08/2025 06:47:54.291,1964,2058,2059
16/08/2025 06:47:54.301,1963,2061,2059
16/08/2025 06:47:54.311,1963,2060,2059
16/08/2025 06:47:54.321,1963,2059,2060
16/08/2025 06:47:54.331,1963,2059,2060
16/08/2025 06:47:54.341,1965,2059,2060
16/08/2025 06:47:54.351,1963,2056,2061
16/08/2025 06:47:54.361,1963,2057,2058
16/08/2025 06:47:54.371,1963,2057,2058
16/08/2025 06:47:54.381,1962,2057,2059
16/08/2025 06:47:54.391,1963,2057,2060
16/08/2025 06:47:54.401,1962,2060,2062
16/08/2025 06:47:54.411,1962,2060,2062
16/08/2025 06:47:54.421,1963,2058,2061
16/08/2025 06:47:54.431,1963,2056,2060
16/08/2025 06:47:54.441,1961,2060,2063
16/08/2025 06:47:54.451,1961,2060,2063
16/08/2025 06:47:54.461,1961,2059,2062
16/08/2025 06:47:54.471,1959,2059,2062
16/08/2025 06:47:54.481,1959,2061,2062
16/08/2025 06:47:54.491,1960,2060,2060
16/08/2025 06:47:54.501,1961,2056,2060
16/08/2025 06:47:54.511,1962,2058,2059
16/08/2025 06:47:54.521,1963,2056,2057
16/08/2025 06:47:54.531,1963,2056,2058
16/08/2025 06:47:54.541,1961,2054,2061
16/08/2025 06:47:54.551,1961,2055,2061
16/08/2025 06:47:54.561,1961,2054,2061
16/08/2025 06:47:54.571,1962,2055,2062
16/08/2025 06:47:54.581,1962,2055,2061
16/08/2025 06:47:54.591,1963,2056,2061
16/08/2025 06:47:54.601,1963,2056,2059
16/08/2025 06:47:54.611,1962,2057,2059
16/08/2025 06:47:54.621,1963,2058,2060
16/08/2025 06:47:54.631,1963,2056,2061
16/08/2025 06:47:54.641,1963,2056,2061
16/08/2025 06:47:54.651,1964,2055,2061
16/08/2025 06:47:54.661,1963,2056,2061
16/08/2025 06:47:54.671,1962,2055,2059
16/08/2025 06:47:54.681,1962,2055,2057
16/08/2025 06:47:54.691,1963,2055,2059
16/08/2025 06:47:54.701,1963,2054,2059
16/08/2025 06:47:54.711,1963,2054,2058
16/08/2025 06:47:54.721,1964,2053,2059
16/08/2025 06:47:54.731,1963,2055,2059
16/08/2025 06:47:54.741,1963,2053,2060
16/08/2025 06:47:54.751,1963,2054,2059
16/08/2025 06:47:54.761,1962,2054,2060
16/08/2025 06:47:54.771,1962,2053,2061
16/08/2025 06:47:54.781,1962,2054,2061
16/08/2025 06:47:54.791,1961,2054,2061
16/08/2025 06:47:54.801,1963,2053,2063
16/08/2025 06:47:54.811,1962,2055,2063
16/08/2025 06:47:54.821,1962,2056,2062
16/08/2025 06:47:54.831,1964,2056,2063
16/08/2025 06:47:54.841,1964,2054,2061
16/08/2025 06:47:54.851,1964,2053,2061
16/08/2025 06:47:54.861,1963,2055,2061
16/08/2025 06:47:54.871,1963,2054,2060
16/08/2025 06:47:54.881,1963,2053,2061
16/08/2025 06:47:54.891,1961,2053,2060
16/08/2025 06:47:54.901,1960,2054,2061
16/08/2025 06:47:54.911,1961,2052,2061
16/08/2025 06:47:54.921,1961,2053,2060
16/08/2025 06:47:54.931,1959,2053,2062
16/08/2025 06:47:54.941,1960,2053,2060
16/08/2025 06:47:54.951,1963,2054,2061
16/08/2025 06:47:54.961,1963,2055,2061
16/08/2025 06:47:54.971,1963,2054,2060
16/08/2025 06:47:54.981,1963,2054,2059
16/08/2025 06:47:54.991,1965,2056,2059
16/08/2025 06:47:55.001,1964,2054,2058
16/08/2025 06:47:55.011,1964,2055,2059
16/08/2025 06:47:55.021,1963,2055,2060
16/08/2025 06:47:55.031,1963,2056,2060
16/08/2025 06:47:55.041,1962,2056,2057
16/08/2025 06:47:55.051,1964,2054,2058
16/08/2025 06:47:55.061,1963,2055,2060
16/08/2025 06:47:55.071,1963,2055,2060
16/08/2025 06:47:55.081,1962,2055,2063
16/08/2025 06:47:55.091,1963,2057,2060
16/08/2025 06:47:55.101,1963,2059,2061
16/08/2025 06:47:55.111,1963,2059,2059
16/08/2025 06:47:55.121,1962,2060,2059
16/08/2025 06:47:55.131,1963,2060,2058
16/08/2025 06:47:55.141,1962,2059,2058
